var	UA.0	UA.1	MI.0	MI.1	PCI.0	PCI.1	TX.0	CA.0	CA.1
SE.BETA.AGE	0.0141322695371749	0.0147499030867547	0.00343969280095671	0.00354802684963841	0.00602035546229587	0.0062898239513007	0.00874395108322278	0.00517932862866255	0.00552930425933265
SE.BETA.WOM	0.263395645210179	0.272244664856175	0.0751917920358851	0.0775105915305793	0.139600759006633	0.14599363789151	0.190843721307995	0.111095925197006	0.118054853473276
SE.BETA.HTN	0.28543275823548	0.297410272822603	0.0745146298807716	0.0773018488347411	0.133515208315508	0.140302071672962	0.182878150427162	0.11134684406888	0.119336623822548
SE.BETA.DIAB	0.2588748364482	0.266574069044695	0.0741117621917212	0.0764109730082856	0.131551406918418	0.13706681799116	0.190009763685077	0.106929619748581	0.113612031812161
SE.BETA.CVHIST	0	0.329375326445097	0	0.0804557086721514	0	0.152606412698073	0	0	0.131798883064329
SE.BETA.CATHLAB	0.394692569606704	0.413089991193519	0.165068341488422	0.113554936636266	0.314639645800464	0.334005819157769	0.272511504927135	0.245047854821422	0.272159288121832
SE.BETA.CORSURG	0.373092192146313	0.391723511966742	0.152405604270344	0.100792605653329	0.192204167386722	0.197099272366462	0.274398538571166	0.179432420896806	0.185315883739759
SE.BETA.UNIVERSI	0.381698214335286	0.405087685163486	0.156487915897353	0.106900298750413	0.20796475226695	0.218694040352505	0.286653642912005	0.191008311926783	0.203344138195171
SE.BETA.GROSS	0.0403216046039597	0.0449070326940726	0.0188181307992272	0.00892722975082255	0.0157222497739458	0.0164710161670521	0.0218784815984257	0.0204947709817001	0.0151301912930652
SE.BETA.LIFEEXP	0.197340513048308	0.210963551297555	0.0832895203510198	0.0503371305338801	0.107257364786624	0.112293241764827	0.12308421659234	0.10447971782143	0.0958511026657194
SE.BETA.CVMORT	0.00567989910032338	0.00601373717829974	0.00232175147988639	0.00137300656630786	0.00310007436049432	0.00325215522074884	0.00329093071213859	0.00308008799554412	0.00280099971391241
AUSTRIA	0.0861889967013625	0.182230757076695	0.509317050208516	0.0384422878771689	0	0	0	0.596674817571563	1.35186729566582e-10
BELGIUM	-0.143140143734563	-0.137180710783401	-0.157325152791515	-0.0104767655265799	0	0	0	-0.367024148228577	-6.85421521233269e-11
