id,Sexe,Perfil,Districte de residŠncia,Edat,satisfacinf,nivellqualitat,aspectmillora,nivellalumnat,sisteducatiu,iniciativapubresultats,instrprovesexternes
203,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,3,2,3,1,3
204,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,1,1,1,1,3,3
205,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,4,4,3,2,3
206,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,4,4,3,2,3
207,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,2,2,2,2,3
208,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,1,3,1,3,2,3
209,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,3,1,1,3,3,1,2
210,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,2,2,2,2,3,1,2
211,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,2,3,2,3,1,3
212,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,3,2,1,3
213,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,3,1,2,3
214,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,3,3,2,1,3
215,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,3,4,3,4,3,1
216,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,3,2,1,3
217,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
218,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
219,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,2,2,3,3,2
220,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,3,2,3,1,3
221,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,2,2,2,1,3
222,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,2,2,2,2,2,1,2
223,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,2,2,3,1,2
224,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,3,1,2
225,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,2,1,3,1,2
226,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,2,2,1,3
227,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,2,3,2,3,3
228,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,1,4,3,3,1,3
229,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,1,3,3,1,1,3
230,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,2,1,1,1,1,1,2
231,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,3,2,1,2,3
232,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,2,2,1,2,1,2
233,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,3,2,2,2
234,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,2,3,3,2,2,3
235,Dona,Ambdues,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,4,3,2,1,3
236,Dona,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
237,Dona,Altres,Altres districtes de Barcelona,Menys de 35 anys,,1,2,2,3,1,2
238,Dona,Altres,Gr…cia,M‚s de 55 anys,,2,2,3,2,3,2
239,Dona,Altres,Altres districtes de Barcelona,M‚s de 55 anys,,2,2,2,2,2,2
240,Dona,Altres,Altres municipis,Entre 35 i 55 anys,,2,3,3,3,1,3
241,Dona,Altres,Gr…cia,Entre 35 i 55 anys,,2,3,2,1,1,3
242,Dona,Altres,Altres municipis,Entre 35 i 55 anys,3,1,2,2,1,1,2
243,Dona,Altres,Altres municipis,Entre 35 i 55 anys,,3,3,3,3,3,3
244,Dona,Altres,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,3,3,2
245,Dona,Altres,Altres municipis,Menys de 35 anys,,1,1,1,1,1,2
